 playing on 	boy 	 baseball field
 near 	foot 	 monitor
 of a 	part 	 purse
 behind 	furniture 	 woman
 with red 	signs 	 letters
 ON 	window 	 passenger
 around h 	chain 	 foot
 lining 	gravel 	 train tracks
 holds 	man 	 wires
 near 	rocks 	 boardwalk
 in front of 	plastic bag 	 purple towel
 unloading 	airport worker 	 plane
 has a 	pitcher 	 baseball
 filled with 	jar 	 smoothie
 driving on 	yellow cab 	 street
 stuck to 	sticker 	 panel
 on a 	sticker 	 wine bottle
 beside 	red umbrella 	 table
 IN 	lamb 	 side
 with 	bench 	 arm rail
 ON 	walk symbol 	 sign
 hanging from 	plant 	 wall
 wears 	female 	 pink shirt
 ON 	roof 	 track
 at 	detour sign 	 entrance
 ON 	green flower 	 pot
 by 	workers 	 elephants
 on top of 	knife 	 cutting board
 below 	drawer 	 drawer
 under an 	boulder 	 animal
 on 	vehicle 	 window
 WEARING 	woman 	 sleeveless top
 ON 	seasonings 	 eggs
 attached to 	sign 	 toilet seat
 not 	street 	 busy
 between 	waterfall 	 trees
 ON 	newpapers 	 table
 in 	cherry 	 cream
 sits on 	baking soda 	 shelf
 WEARING 	girl 	 braids
 lining 	tree 	 field
 has 	glass 	 wide mouth
 between 	nightstand 	 beds
 with 	blue triangle 	 drops
 resting on 	ear 	 face
 ON 	pole 	 pillars
 IN 	green grass 	 airport
 IN 	food 	 styrofoam box
 covering 	grafiti 	 stop sign
 OF 	rear end 	 scooter
 by 	person 	 bed
 for 	traffic signal 	 street
 IN 	woman 	 rear
 by 	trash can 	 tree
 from 	green leaves 	 tree
 OF 	plate 	 shrimp
 OF 	streamers 	 door
 ON 	computers 	 rail
 have 	bananas 	 stem
 holding 	hands 	 tie
 ON 	bedside lamp 	 nightstand
 hung on 	decoration 	 wall
 OF 	wheel 	 trash can
 ON 	right hand 	 mouse
 ON 	glass vase 	 bench
 all around 	stripe 	 plate
 three 	family 	 bench
 IN 	power lines 	 sky
 ON 	stroller 	 boardwalk
 displayed on 	icons 	 desktop screen
 OF 	dog 	 foot
 supporting 	poles 	 roof
 with 	banner 	 words
 ON 	hotel logo 	 bus
 wears 	guy 	 black shorts
 lying in 	lions 	 grass
 ON 	apple 	 orange
 next to 	man 	 cupboard
 from a 	fallen rocks 	 mountain
 ON 	guy 	 cockpit
 holding 	person 	 drumsticks
 above 	line 	 trees
 in a 	man 	 dog suit
 front 	desk 	 bed
 ON 	cracker 	 plate
 on h 	facial hair 	 face
 has 	kite 	 red tip
 of a 	nose 	 male
 sitting in 	child 	 high chair
 sitting on 	rocks 	 ground
 wears 	man 	 fedora
 OF 	fence 	 pen
 attached to 	ticket 	 coat
 grass 	green 	 field
 casting 	man 	 shadow
 on top of 	hair 	 head
 for 	stand 	 microphone
 on top of 	banana 	 banana
 along 	cliffs 	 river
 to 	staircase 	 building
 IN 	snow 	 photo
 ON 	tire 	 door
 following 	female 	 tracks
 near 	finger 	 mouth
 has 	deck 	 portion
 OF 	tube 	 bicycle
 ON 	flush knob 	 toielt
 kissing 	woman 	 bear
 at 	building 	 beach
 in front of 	dvd 	 television
 IN 	bulb 	 light
 are on 	chips 	 display
 OF 	bird feet 	 bird
 on right side of 	medallion 	 company name
 ON 	cheeseburger 	 plate
 ON 	computer screen 	 computer screen
 ON 	elf 	 motorcycle
 on a 	traffic 	 street
 ON 	heart 	 bracelet
 ON 	plant 	 branches
 ON 	carrot 	 shish kabob
 above 	birds 	 bush
 behind 	train 	 woman
 above 	mole 	 lip
 behind 	house 	 giraffes
 to 	stairs 	 apartment
 ON 	needle 	 speedometer
 has 	umpire 	 cap
 has 	backsplash 	 outlets
 IN 	gatorade jugs 	 background
 has 	sink 	 pedestal
 in 	shrub 	 background
 are on 	potatoes 	 plate
 has 	screen 	 lights
 IN 	man 	 background
 holding 	boy 	 apples
 OF 	red square 	 fabric
 has 	police motorcycle 	 front tire
 with 	dog 	 parent
 ON 	water bottle 	 grass
 at 	ground 	 baseball field
 off 	snow 	 snowboard
 ON 	hamburgers 	 grll
 sitting on 	baseball plate 	 ground
 with a 	man 	 coat
 over 	areas of water 	 concrete
 behind 	cat 	 purse
 putting on 	man 	 sunglasses
 ON 	remote 	 dashboard
 on top of 	feathers 	 cake
 hold 	hands 	 bat
 ON 	platform 	 trackside
 has 	jetski 	 wave
 with 	people 	 fork
 by 	bench 	 microwave
 IN 	garbage can 	 background
 ON 	seasoning 	 slice carrots
 has 	vanity 	 wainscoting
 lying on 	animal 	 hill
 by 	buildings 	 skyscraper
 standing 	leg 	 leaves
 red 	small 	 bowl
 have 	scissors 	 shadow
 running 	child 	 water
 IN 	biker 	 image
 on side of 	rocks 	 animals
 has 	wall 	 switches
 IN 	man 	 competition
 playing on 	boy 	 court
 ON 	design 	 pot
 WEARING 	guys 	 shirt.
 ON 	train brand 	 train
 IN 	boulders 	 pen
 in a 	slide 	 play area
 have 	vehicles 	 headlights
 ON 	computers 	 bed
 ON 	item 	 head
 WEARING 	woman 	 custome
 ON 	speck 	 broccoli
 sitting 	cabbage 	 head
 has 	locomotive 	 windshield
 fronting 	window 	 bus
 ON 	sign 	 traintrack
 has a 	jeans 	 pocket
 ON 	chain 	 bar
 has 	eye 	 cat's eyes
 ON 	skirt 	 bed
 ON 	headlights 	 motorbike
 on a 	white roof 	 bus
 under 	meat 	 broccoli
 ON 	girl 	 floor
 walking 	man 	 around
 holding 	post 	 ribbon
 curved 	two 	 horns
 HANGING FROM 	wood 	 ceiling
 under 	floor mat 	 barber chair
 IN 	shrine 	 shrine
 beside 	mountains 	 road
 near 	shrub 	 person
 ON 	white 	 tower
 hanging on 	person 	 bus
 under 	book 	 ceramic jar
 has 	vehicles 	 rear wheel
 sitting on top of 	baby 	 blanket
 standing behind a 	zebra 	 fence
 hidden by 	person 	 jacket
 on side of 	doors 	 train car
 going down 	car 	 street
 ON 	chair seat 	 stacked chair
 ON 	writing 	 umbrella
 ON 	drain pipe 	 sink
 in middle of 	fire hydrant 	 woods
 over 	toilet paper roll 	 toilet paper roll
 jumping over 	skier 	 hill
 on right side of 	shrubs 	 train
 with 	bar 	 rope
 ON 	candlelight 	 table
 ON 	white line 	 surface
 holding 	human 	 sandwich
 wearing a 	person 	 bathing suit
 ON 	engine 	 motorcycle
 on top of 	cat 	 microwave
 hanging on 	turtle 	 necklace
 has a 	duck 	 closed beak
 near 	boy 	 goats
 hanging in 	light bulb 	 ceiling
 leaning on 	rider 	 motorcycle
 ON 	penguin 	 table
 WEARING 	person 	 adidas
 carrying 	man 	 beach umbrella
 for 	bin 	 cigarettes
 has 	pastry 	 frosting
 on top of 	sunlight 	 grass
 IN 	boy 	 pants
 has 	truck 	 front right wheel
 has 	goalie 	 mouth
 below 	wall 	 scissors
 ON 	sock 	 guy
 OF 	shadow 	 animal
 IN 	sunglasses 	 t-shirt
 against 	hydrant 	 building
 ON 	grate 	 motorcycle
 ON 	eating utensil 	 plate
 with 	bed 	 box
 ON 	ear 	 elephant head
 ON 	surface 	 pan
 filled with 	cup 	 french fries
 on 	people 	 shore
 for 	signs 	 street
 behind 	spoon 	 cup
 ON 	rock pile 	 hill
 behind 	cords 	 television
 OF 	leg 	 batter
 IN 	post 	 sand
 on top of 	bread 	 hoagie
 on a 	tomato 	 crust
 IN 	men 	 stand
 underneath 	gnome 	 tree
 ON 	candlesticks 	 mantle
 ON 	wristband 	 arm
 and 	tea cup 	 saucer
 attached 	rope 	 bow
 next to 	tail 	 leg
 with 	backdrop 	 trees
 standing beside 	man 	 motorcycle
 on top of 	light 	 roof
 facing away from 	chair 	 door
 IN 	wines 	 cupboard
 IN 	corner 	 bottom
 OF 	round base 	 sign
 watch 	people 	 skater
 IN 	beer 	 mouth
 connected to 	streamer 	 kite
 next 	concrete 	 grass
 on front of 	power light 	 laptop
 tied on 	bandana 	 head
 topping 	cheese 	 pizza
 walking 	boys 	 water
 on 	dent 	 sign
 above 	flag 	 bleachers
 IN 	opening 	 object
 on top of 	bottle 	 sink
 has 	artifact 	 chip
 for 	flower pot 	 plant
 ON 	blanket 	 chaise
 has a 	leash 	 clasp
 ON 	balcony rail 	 balcony
 throwing a 	baseball player 	 baseball
 side 	fork 	 plate
 near 	road 	 rails
 ON 	bikers 	 road
 OF 	dinosaur 	 dinosaur
 with a 	cross 	 bird
 ON 	line 	 turf
 IN 	plant 	 barrel
 has 	sand 	 marks
 WEARING 	jeans 	 jacket
 with 	elephant 	 basket
 IN 	boy 	 red shirt
 ON 	gauges 	 bike
 sitting on top of 	table lamp 	 nightstand
 has 	field 	 snow
 on a 	windows 	 bricks
 ON 	mountians 	 horizon
 smeared on 	condiment 	 sandwich
 has 	headphones 	 cord
 ON 	shredded cheese 	 table
 on top of 	eyeglasses 	 man
 eats 	girl 	 sandwich
 holding 	white bowl 	 brown beans
 ON 	hands 	 timer
 front 	front light 	 bus
 ON 	elmo 	 cake
 OF 	claw 	 paw
 OF 	chimney 	 ship
 inside of 	drain 	 bathtub
 ON 	eyes 	 squirrel
 was 	sky 	 cloudyand gray
 ON 	wooden spoon 	 saucer
 ON 	ring 	 towel holder
 IN 	wine bottles 	 room
